Total time: 1.378734s

p[1048].vx: -50.950	p[1048].vy: 56.484	p[1048].vz: -57.106

p[1049].x: 3.358	p[1049].y: -3.979	p[1049].z: -2.836
p[1049].vx: 50.219	p[1049].vy: -57.402	p[1049].vz: -40.946

p[1050].x: -1.936	p[1050].y: -1.853	p[1050].z: -1.808
p[1050].vx: -36.848	p[1050].vy: -32.843	p[1050].vz: -32.340

p[1051].x: -6.297	p[1051].y: -2.328	p[1051].z: -5.577
p[1051].vx: -88.607	p[1051].vy: -32.928	p[1051].vz: -80.367

p[1052].x: 2.586	p[1052].y: 1.783	p[1052].z: -1.912
p[1052].vx: 39.093	p[1052].vy: 27.256	p[1052].vz: -32.003

p[1053].x: 1.960	p[1053].y: -0.919	p[1053].z: 0.539
p[1053].vx: 34.222	p[1053].vy: -10.426	p[1053].vz: -2.370

p[1054].x: 2.642	p[1054].y: -3.762	p[1054].z: -3.434
p[1054].vx: 42.396	p[1054].vy: -52.795	p[1054].vz: -50.948

p[1055].x: 4.767	p[1055].y: -3.149	p[1055].z: -6.399
p[1055].vx: 68.974	p[1055].vy: -44.998	p[1055].vz: -91.797

p[1056].x: 3.072	p[1056].y: 1.459	p[1056].z: -0.633
p[1056].vx: 41.087	p[1056].vy: 13.339	p[1056].vz: -14.598

p[1057].x: -2.474	p[1057].y: 1.938	p[1057].z: 2.210
p[1057].vx: -34.064	p[1057].vy: 29.322	p[1057].vz: 31.081

p[1058].x: -2.307	p[1058].y: 1.525	p[1058].z: -1.651
p[1058].vx: -28.003	p[1058].vy: 25.815	p[1058].vz: -7.440

p[1059].x: 4.748	p[1059].y: -2.170	p[1059].z: 4.155
p[1059].vx: 65.829	p[1059].vy: -30.091	p[1059].vz: 57.298

p[1060].x: 2.884	p[1060].y: -2.980	p[1060].z: 3.957
p[1060].vx: 49.220	p[1060].vy: -50.425	p[1060].vz: 66.019

p[1061].x: -5.917	p[1061].y: 5.915	p[1061].z: 4.140
p[1061].vx: -84.016	p[1061].vy: 84.807	p[1061].vz: 60.181

p[1062].x: -1.772	p[1062].y: -8.477	p[1062].z: -4.192
p[1062].vx: -24.396	p[1062].vy: -120.410	p[1062].vz: -58.094

p[1063].x: -11.439	p[1063].y: 11.734	p[1063].z: 10.118
p[1063].vx: -163.611	p[1063].vy: 169.408	p[1063].vz: 147.252

p[1064].x: -5.583	p[1064].y: 2.778	p[1064].z: 2.891
p[1064].vx: -78.679	p[1064].vy: 40.770	p[1064].vz: 42.548

p[1065].x: 3.516	p[1065].y: 1.491	p[1065].z: -1.098
p[1065].vx: 54.374	p[1065].vy: 24.638	p[1065].vz: -10.394

p[1066].x: -2.771	p[1066].y: 4.994	p[1066].z: 2.252
p[1066].vx: -42.372	p[1066].vy: 70.082	p[1066].vz: 32.080

p[1067].x: 8.554	p[1067].y: 3.214	p[1067].z: -6.931
p[1067].vx: 123.071	p[1067].vy: 45.758	p[1067].vz: -100.815

p[1068].x: 4.300	p[1068].y: -1.337	p[1068].z: 7.707
p[1068].vx: 62.118	p[1068].vy: -18.450	p[1068].vz: 109.894

p[1069].x: -7.478	p[1069].y: 0.889	p[1069].z: 1.446
p[1069].vx: -106.476	p[1069].vy: 12.447	p[1069].vz: 22.866

p[1070].x: -1.903	p[1070].y: 0.621	p[1070].z: -1.093
p[1070].vx: -29.320	p[1070].vy: 8.683	p[1070].vz: -1.092

p[1071].x: 0.672	p[1071].y: 7.457	p[1071].z: 5.948
p[1071].vx: 9.567	p[1071].vy: 106.849	p[1071].vz: 84.518

p[1072].x: -1.633	p[1072].y: -1.155	p[1072].z: 3.266
p[1072].vx: -19.958	p[1072].vy: -0.361	p[1072].vz: 39.777

p[1073].x: -1.875	p[1073].y: -6.795	p[1073].z: 1.556
p[1073].vx: -25.849	p[1073].vy: -96.793	p[1073].vz: 24.398

p[1074].x: -4.657	p[1074].y: 3.432	p[1074].z: 0.732
p[1074].vx: -66.991	p[1074].vy: 50.433	p[1074].vz: 10.922

p[1075].x: 0.373	p[1075].y: 5.268	p[1075].z: 5.254
p[1075].vx: 5.690	p[1075].vy: 76.142	p[1075].vz: 76.176

p[1076].x: -4.197	p[1076].y: 2.815	p[1076].z: 3.538
p[1076].vx: -60.632	p[1076].vy: 39.217	p[1076].vz: 49.720

p[1077].x: 1.725	p[1077].y: 0.743	p[1077].z: -8.439
p[1077].vx: 26.773	p[1077].vy: 10.933	p[1077].vz: -120.829

p[1078].x: 3.563	p[1078].y: 3.784	p[1078].z: 5.810
p[1078].vx: 51.693	p[1078].vy: 54.275	p[1078].vz: 82.435

p[1079].x: -3.393	p[1079].y: 7.376	p[1079].z: 0.782
p[1079].vx: -48.666	p[1079].vy: 105.399	p[1079].vz: 13.522

p[1080].x: -2.344	p[1080].y: 1.906	p[1080].z: -2.437
p[1080].vx: -38.730	p[1080].vy: 32.935	p[1080].vz: -39.985

p[1081].x: 3.422	p[1081].y: 4.339	p[1081].z: 1.238
p[1081].vx: 46.918	p[1081].vy: 60.052	p[1081].vz: 16.853

p[1082].x: -4.464	p[1082].y: 5.219	p[1082].z: -1.195
p[1082].vx: -63.846	p[1082].vy: 74.205	p[1082].vz: -18.936

p[1083].x: -6.387	p[1083].y: -3.150	p[1083].z: -2.606
p[1083].vx: -90.820	p[1083].vy: -46.084	p[1083].vz: -37.517

p[1084].x: 1.903	p[1084].y: 4.833	p[1084].z: 7.019
p[1084].vx: 24.842	p[1084].vy: 69.257	p[1084].vz: 101.030

p[1085].x: 6.382	p[1085].y: 4.033	p[1085].z: 4.665
p[1085].vx: 91.605	p[1085].vy: 58.674	p[1085].vz: 66.323

p[1086].x: -4.414	p[1086].y: 0.920	p[1086].z: 3.627
p[1086].vx: -58.667	p[1086].vy: 13.990	p[1086].vz: 52.103

p[1087].x: -4.875	p[1087].y: 1.028	p[1087].z: 6.429
p[1087].vx: -68.504	p[1087].vy: 14.846	p[1087].vz: 89.200

p[1088].x: -0.108	p[1088].y: -6.809	p[1088].z: -0.756
p[1088].vx: -0.611	p[1088].vy: -94.609	p[1088].vz: -11.418

p[1089].x: -9.896	p[1089].y: 13.182	p[1089].z: 12.272
p[1089].vx: -140.668	p[1089].vy: 189.975	p[1089].vz: 176.763

p[1090].x: 3.912	p[1090].y: -2.386	p[1090].z: -1.912
p[1090].vx: 53.226	p[1090].vy: -32.476	p[1090].vz: -27.323

p[1091].x: 4.430	p[1091].y: -2.521	p[1091].z: 5.083
p[1091].vx: 63.189	p[1091].vy: -34.588	p[1091].vz: 69.733

p[1092].x: 2.975	p[1092].y: -7.001	p[1092].z: 0.859
p[1092].vx: 42.012	p[1092].vy: -98.086	p[1092].vz: 11.602

p[1093].x: -1.920	p[1093].y: 3.795	p[1093].z: -1.786
p[1093].vx: -26.697	p[1093].vy: 54.945	p[1093].vz: -21.645

p[1094].x: 2.302	p[1094].y: -1.951	p[1094].z: -1.719
p[1094].vx: 28.075	p[1094].vy: -34.186	p[1094].vz: -22.199

p[1095].x: -4.054	p[1095].y: -0.452	p[1095].z: 3.870
p[1095].vx: -55.718	p[1095].vy: -4.145	p[1095].vz: 54.781

p[1096].x: 0.336	p[1096].y: -1.096	p[1096].z: -0.018
p[1096].vx: 13.942	p[1096].vy: -5.150	p[1096].vz: -2.079

p[1097].x: -1.666	p[1097].y: -0.614	p[1097].z: 3.783
p[1097].vx: -23.450	p[1097].vy: -7.591	p[1097].vz: 51.341

p[1098].x: 8.076	p[1098].y: -6.248	p[1098].z: -5.152
p[1098].vx: 116.518	p[1098].vy: -89.955	p[1098].vz: -75.378

p[1099].x: -9.242	p[1099].y: 1.468	p[1099].z: 3.162
p[1099].vx: -130.721	p[1099].vy: 20.541	p[1099].vz: 44.162

p[1100].x: -6.818	p[1100].y: 0.869	p[1100].z: 5.862
p[1100].vx: -96.367	p[1100].vy: 13.413	p[1100].vz: 84.216

p[1101].x: -4.645	p[1101].y: -3.069	p[1101].z: -3.412
p[1101].vx: -66.405	p[1101].vy: -44.036	p[1101].vz: -50.408

p[1102].x: -6.150	p[1102].y: 4.755	p[1102].z: -1.651
p[1102].vx: -88.612	p[1102].vy: 67.611	p[1102].vz: -24.386

p[1103].x: 6.056	p[1103].y: 0.718	p[1103].z: -0.499
p[1103].vx: 86.783	p[1103].vy: 10.024	p[1103].vz: -7.863

p[1104].x: -3.990	p[1104].y: -4.475	p[1104].z: 2.171
p[1104].vx: -57.694	p[1104].vy: -64.850	p[1104].vz: 32.396

p[1105].x: -2.460	p[1105].y: 3.938	p[1105].z: 2.174
p[1105].vx: -32.605	p[1105].vy: 57.978	p[1105].vz: 33.330

p[1106].x: -2.028	p[1106].y: -1.009	p[1106].z: -1.635
p[1106].vx: -25.208	p[1106].vy: -14.059	p[1106].vz: -21.144

p[1107].x: 0.760	p[1107].y: 2.843	p[1107].z: 7.547
p[1107].vx: 10.505	p[1107].vy: 41.421	p[1107].vz: 106.483

p[1108].x: -8.202	p[1108].y: -2.741	p[1108].z: -1.518
p[1108].vx: -115.074	p[1108].vy: -38.419	p[1108].vz: -22.912

p[1109].x: 6.766	p[1109].y: -6.895	p[1109].z: -2.613
p[1109].vx: 97.102	p[1109].vy: -96.874	p[1109].vz: -38.053

p[1110].x: -2.424	p[1110].y: -5.544	p[1110].z: 4.440
p[1110].vx: -34.270	p[1110].vy: -78.156	p[1110].vz: 62.445

p[1111].x: -2.238	p[1111].y: -6.334	p[1111].z: 3.187
p[1111].vx: -31.101	p[1111].vy: -87.893	p[1111].vz: 42.713

p[1112].x: 4.718	p[1112].y: -0.268	p[1112].z: -6.023
p[1112].vx: 67.081	p[1112].vy: -5.563	p[1112].vz: -85.957

p[1113].x: -1.608	p[1113].y: -3.445	p[1113].z: -3.062
p[1113].vx: -24.754	p[1113].vy: -49.013	p[1113].vz: -46.113

p[1114].x: 9.309	p[1114].y: -22.673	p[1114].z: -15.780
p[1114].vx: 108.745	p[1114].vy: -255.607	p[1114].vz: -167.114

p[1115].x: 6.493	p[1115].y: -7.050	p[1115].z: -2.983
p[1115].vx: 94.384	p[1115].vy: -99.775	p[1115].vz: -43.145

p[1116].x: -0.672	p[1116].y: 2.061	p[1116].z: 1.644
p[1116].vx: -13.154	p[1116].vy: 29.087	p[1116].vz: 21.593

p[1117].x: -7.724	p[1117].y: -3.749	p[1117].z: 2.873
p[1117].vx: -109.364	p[1117].vy: -53.207	p[1117].vz: 40.372

p[1118].x: -4.183	p[1118].y: -5.414	p[1118].z: -4.659
p[1118].vx: -60.255	p[1118].vy: -76.351	p[1118].vz: -67.594

p[1119].x: 6.100	p[1119].y: 5.291	p[1119].z: -4.174
p[1119].vx: 87.366	p[1119].vy: 75.890	p[1119].vz: -60.003

p[1120].x: 6.332	p[1120].y: -4.890	p[1120].z: -3.613
p[1120].vx: 90.440	p[1120].vy: -70.178	p[1120].vz: -53.148

p[1121].x: 6.411	p[1121].y: -0.688	p[1121].z: 1.489
p[1121].vx: 89.174	p[1121].vy: -10.266	p[1121].vz: 19.745

p[1122].x: -3.596	p[1122].y: 3.407	p[1122].z: -2.091
p[1122].vx: -50.430	p[1122].vy: 48.885	p[1122].vz: -31.483

p[1123].x: 5.000	p[1123].y: -1.355	p[1123].z: -4.619
p[1123].vx: 72.556	p[1123].vy: -20.834	p[1123].vz: -68.107

p[1124].x: -4.129	p[1124].y: 9.957	p[1124].z: -3.320
p[1124].vx: -58.392	p[1124].vy: 141.461	p[1124].vz: -48.525

p[1125].x: -6.358	p[1125].y: -3.630	p[1125].z: -3.677
p[1125].vx: -89.749	p[1125].vy: -51.883	p[1125].vz: -52.829

p[1126].x: 0.204	p[1126].y: -1.531	p[1126].z: -0.688
p[1126].vx: 17.454	p[1126].vy: -31.817	p[1126].vz: 7.232

p[1127].x: -4.760	p[1127].y: 5.680	p[1127].z: 3.120
p[1127].vx: -66.736	p[1127].vy: 80.378	p[1127].vz: 44.131

p[1128].x: -3.675	p[1128].y: 2.330	p[1128].z: 0.576
p[1128].vx: -48.178	p[1128].vy: 32.929	p[1128].vz: 7.268

p[1129].x: -2.389	p[1129].y: 1.359	p[1129].z: 2.759
p[1129].vx: -27.013	p[1129].vy: 27.988	p[1129].vz: 38.837

p[1130].x: 5.270	p[1130].y: -2.893	p[1130].z: 3.473
p[1130].vx: 73.839	p[1130].vy: -40.913	p[1130].vz: 47.905

p[1131].x: 1.699	p[1131].y: 3.293	p[1131].z: 0.416
p[1131].vx: 23.780	p[1131].vy: 40.944	p[1131].vz: 18.476

p[1132].x: 3.075	p[1132].y: -6.983	p[1132].z: -2.891
p[1132].vx: 44.260	p[1132].vy: -98.928	p[1132].vz: -40.583

p[1133].x: 1.805	p[1133].y: 4.288	p[1133].z: 1.656
p[1133].vx: 27.976	p[1133].vy: 63.144	p[1133].vz: 22.988

p[1134].x: -2.176	p[1134].y: 0.098	p[1134].z: -2.025
p[1134].vx: -39.603	p[1134].vy: 8.431	p[1134].vz: -28.025

p[1135].x: 0.117	p[1135].y: 5.342	p[1135].z: 2.613
p[1135].vx: 3.530	p[1135].vy: 76.675	p[1135].vz: 37.923

p[1136].x: -1.339	p[1136].y: 1.161	p[1136].z: -1.117
p[1136].vx: -16.249	p[1136].vy: 21.153	p[1136].vz: -18.791

p[1137].x: 1.124	p[1137].y: -3.821	p[1137].z: 9.349
p[1137].vx: 15.997	p[1137].vy: -54.197	p[1137].vz: 131.683

p[1138].x: 8.282	p[1138].y: -2.346	p[1138].z: -0.088
p[1138].vx: 118.040	p[1138].vy: -33.274	p[1138].vz: -1.712

p[1139].x: 1.886	p[1139].y: 2.868	p[1139].z: -2.298
p[1139].vx: 34.785	p[1139].vy: 47.001	p[1139].vz: -38.056

p[1140].x: 4.933	p[1140].y: 1.066	p[1140].z: -3.888
p[1140].vx: 71.907	p[1140].vy: 18.393	p[1140].vz: -57.607

p[1141].x: -2.297	p[1141].y: -4.095	p[1141].z: 4.491
p[1141].vx: -35.609	p[1141].vy: -61.485	p[1141].vz: 68.335

p[1142].x: 0.254	p[1142].y: -1.747	p[1142].z: -0.874
p[1142].vx: -3.174	p[1142].vy: -12.680	p[1142].vz: -18.710

p[1143].x: 6.688	p[1143].y: 1.190	p[1143].z: -0.709
p[1143].vx: 95.789	p[1143].vy: 16.584	p[1143].vz: -11.578

p[1144].x: 2.427	p[1144].y: 2.428	p[1144].z: -2.515
p[1144].vx: 46.141	p[1144].vy: 41.469	p[1144].vz: -39.589

p[1145].x: -5.712	p[1145].y: 7.588	p[1145].z: 5.327
p[1145].vx: -82.077	p[1145].vy: 109.976	p[1145].vz: 76.204

p[1146].x: -7.867	p[1146].y: 7.656	p[1146].z: 0.756
p[1146].vx: -70.582	p[1146].vy: 74.536	p[1146].vz: 10.145

p[1147].x: 3.563	p[1147].y: 5.133	p[1147].z: -6.713
p[1147].vx: 50.207	p[1147].vy: 72.777	p[1147].vz: -95.266

p[1148].x: -1.671	p[1148].y: 5.836	p[1148].z: 6.977
p[1148].vx: -23.398	p[1148].vy: 83.494	p[1148].vz: 98.912

p[1149].x: -1.766	p[1149].y: -0.002	p[1149].z: 3.963
p[1149].vx: -20.949	p[1149].vy: 5.596	p[1149].vz: 41.544

p[1150].x: 1.868	p[1150].y: -0.338	p[1150].z: -1.140
p[1150].vx: 27.000	p[1150].vy: -4.211	p[1150].vz: -11.023

p[1151].x: 8.404	p[1151].y: -1.165	p[1151].z: 1.507
p[1151].vx: 119.877	p[1151].vy: -15.111	p[1151].vz: 20.233

p[1152].x: 1.920	p[1152].y: 2.358	p[1152].z: 2.011
p[1152].vx: 26.843	p[1152].vy: 35.709	p[1152].vz: 30.793

p[1153].x: -3.166	p[1153].y: 4.193	p[1153].z: -6.638
p[1153].vx: -46.574	p[1153].vy: 59.852	p[1153].vz: -94.118

p[1154].x: -3.747	p[1154].y: 0.830	p[1154].z: 4.587
p[1154].vx: -53.035	p[1154].vy: 10.330	p[1154].vz: 64.767

p[1155].x: -1.039	p[1155].y: -5.111	p[1155].z: 5.441
p[1155].vx: -14.481	p[1155].vy: -72.257	p[1155].vz: 78.098

p[1156].x: 4.062	p[1156].y: 2.724	p[1156].z: -2.045
p[1156].vx: 59.792	p[1156].vy: 39.595	p[1156].vz: -30.943

p[1157].x: -1.268	p[1157].y: -4.480	p[1157].z: -0.853
p[1157].vx: -21.243	p[1157].vy: -62.459	p[1157].vz: -12.093

p[1158].x: 3.495	p[1158].y: 1.669	p[1158].z: 6.824
p[1158].vx: 48.384	p[1158].vy: 24.534	p[1158].vz: 96.628

p[1159].x: 0.386	p[1159].y: 4.818	p[1159].z: -4.799
p[1159].vx: 6.317	p[1159].vy: 69.166	p[1159].vz: -68.436

p[1160].x: 4.877	p[1160].y: 3.868	p[1160].z: -2.643
p[1160].vx: 66.555	p[1160].vy: 52.918	p[1160].vz: -35.574

p[1161].x: 3.048	p[1161].y: 2.690	p[1161].z: 3.616
p[1161].vx: 47.106	p[1161].vy: 42.226	p[1161].vz: 51.277

p[1162].x: 4.796	p[1162].y: -1.890	p[1162].z: -3.966
p[1162].vx: 70.001	p[1162].vy: -25.402	p[1162].vz: -56.455

p[1163].x: -5.341	p[1163].y: -5.170	p[1163].z: -2.170
p[1163].vx: -75.017	p[1163].vy: -71.954	p[1163].vz: -29.759

p[1164].x: 1.568	p[1164].y: -1.463	p[1164].z: -0.292
p[1164].vx: 26.548	p[1164].vy: -16.623	p[1164].vz: -15.642

p[1165].x: -1.699	p[1165].y: 0.860	p[1165].z: 6.142
p[1165].vx: -24.976	p[1165].vy: 11.749	p[1165].vz: 86.693

p[1166].x: 0.170	p[1166].y: 9.970	p[1166].z: -0.625
p[1166].vx: 2.864	p[1166].vy: 140.939	p[1166].vz: -10.293

p[1167].x: 2.217	p[1167].y: 1.187	p[1167].z: -0.827
p[1167].vx: 34.543	p[1167].vy: 18.654	p[1167].vz: -6.436

p[1168].x: -1.309	p[1168].y: 1.168	p[1168].z: -2.549
p[1168].vx: -24.356	p[1168].vy: 18.476	p[1168].vz: -43.186

p[1169].x: -3.509	p[1169].y: 4.865	p[1169].z: -6.908
p[1169].vx: -50.804	p[1169].vy: 70.798	p[1169].vz: -98.067

p[1170].x: 1.349	p[1170].y: -0.677	p[1170].z: -7.781
p[1170].vx: 9.922	p[1170].vy: -0.525	p[1170].vz: -100.319

p[1171].x: 8.841	p[1171].y: 2.528	p[1171].z: -2.273
p[1171].vx: 126.869	p[1171].vy: 35.967	p[1171].vz: -32.548

p[1172].x: -3.051	p[1172].y: -3.620	p[1172].z: 1.265
p[1172].vx: -41.386	p[1172].vy: -48.898	p[1172].vz: 17.939

p[1173].x: -9.944	p[1173].y: 7.588	p[1173].z: 3.820
p[1173].vx: -142.179	p[1173].vy: 109.389	p[1173].vz: 58.021

p[1174].x: -2.384	p[1174].y: -1.589	p[1174].z: -1.387
p[1174].vx: -30.712	p[1174].vy: -20.590	p[1174].vz: -20.072

p[1175].x: -1.019	p[1175].y: -1.248	p[1175].z: 6.951
p[1175].vx: -14.986	p[1175].vy: -16.848	p[1175].vz: 98.321

p[1176].x: 2.934	p[1176].y: -5.568	p[1176].z: 0.593
p[1176].vx: 41.424	p[1176].vy: -77.684	p[1176].vz: 8.779

p[1177].x: 1.812	p[1177].y: 4.154	p[1177].z: -4.917
p[1177].vx: 25.662	p[1177].vy: 59.369	p[1177].vz: -70.886

p[1178].x: -5.255	p[1178].y: -6.685	p[1178].z: -1.657
p[1178].vx: -73.858	p[1178].vy: -94.113	p[1178].vz: -25.350

p[1179].x: 5.364	p[1179].y: -2.131	p[1179].z: 1.141
p[1179].vx: 74.958	p[1179].vy: -29.657	p[1179].vz: 14.729

p[1180].x: -3.257	p[1180].y: 2.642	p[1180].z: -1.445
p[1180].vx: -52.245	p[1180].vy: 42.267	p[1180].vz: -25.444

p[1181].x: 4.246	p[1181].y: -6.641	p[1181].z: -4.004
p[1181].vx: 60.700	p[1181].vy: -94.316	p[1181].vz: -56.681

p[1182].x: 0.247	p[1182].y: -3.819	p[1182].z: 1.244
p[1182].vx: 2.641	p[1182].vy: -51.156	p[1182].vz: 15.812

p[1183].x: -3.445	p[1183].y: -3.373	p[1183].z: 7.374
p[1183].vx: -40.369	p[1183].vy: -34.902	p[1183].vz: 84.783

p[1184].x: -6.371	p[1184].y: -0.022	p[1184].z: -5.811
p[1184].vx: -90.054	p[1184].vy: -0.234	p[1184].vz: -83.997

p[1185].x: 1.354	p[1185].y: 3.899	p[1185].z: 5.684
p[1185].vx: 20.245	p[1185].vy: 56.925	p[1185].vz: 80.528

p[1186].x: 3.244	p[1186].y: 2.871	p[1186].z: 2.575
p[1186].vx: 49.452	p[1186].vy: 41.207	p[1186].vz: 35.013

p[1187].x: -1.295	p[1187].y: -3.536	p[1187].z: -9.255
p[1187].vx: -18.711	p[1187].vy: -50.519	p[1187].vz: -132.433

p[1188].x: 2.024	p[1188].y: -11.426	p[1188].z: -9.987
p[1188].vx: 31.122	p[1188].vy: -160.749	p[1188].vz: -139.021

p[1189].x: 4.750	p[1189].y: 0.287	p[1189].z: 4.249
p[1189].vx: 64.786	p[1189].vy: 4.918	p[1189].vz: 60.831

p[1190].x: -3.389	p[1190].y: 1.323	p[1190].z: -2.705
p[1190].vx: -48.265	p[1190].vy: 18.611	p[1190].vz: -40.430

p[1191].x: 3.954	p[1191].y: -5.787	p[1191].z: -6.371
p[1191].vx: 56.871	p[1191].vy: -81.676	p[1191].vz: -91.088

p[1192].x: 5.694	p[1192].y: -1.516	p[1192].z: 2.711
p[1192].vx: 79.973	p[1192].vy: -20.221	p[1192].vz: 37.970

p[1193].x: 2.721	p[1193].y: 7.793	p[1193].z: -1.889
p[1193].vx: 39.684	p[1193].vy: 109.022	p[1193].vz: -27.547

p[1194].x: 1.740	p[1194].y: 1.309	p[1194].z: 0.210
p[1194].vx: 20.755	p[1194].vy: 17.237	p[1194].vz: 2.793

p[1195].x: -0.436	p[1195].y: 2.326	p[1195].z: -1.023
p[1195].vx: -18.618	p[1195].vy: 39.033	p[1195].vz: -17.088

p[1196].x: 2.770	p[1196].y: -2.797	p[1196].z: -2.359
p[1196].vx: 39.738	p[1196].vy: -42.679	p[1196].vz: -31.203

p[1197].x: 6.146	p[1197].y: -1.922	p[1197].z: 0.769
p[1197].vx: 88.045	p[1197].vy: -25.628	p[1197].vz: 10.027

p[1198].x: 2.298	p[1198].y: 5.977	p[1198].z: 2.469
p[1198].vx: 35.052	p[1198].vy: 85.417	p[1198].vz: 35.984

p[1199].x: -3.520	p[1199].y: -1.227	p[1199].z: -3.958
p[1199].vx: -50.369	p[1199].vy: -19.520	p[1199].vz: -58.188

p[1200].x: 2.704	p[1200].y: 0.493	p[1200].z: 2.449
p[1200].vx: 44.145	p[1200].vy: 12.120	p[1200].vz: 34.238

p[1201].x: -16.754	p[1201].y: 13.004	p[1201].z: -0.733
p[1201].vx: -241.269	p[1201].vy: 188.349	p[1201].vz: -9.361

p[1202].x: -8.048	p[1202].y: -3.560	p[1202].z: -4.686
p[1202].vx: -114.612	p[1202].vy: -50.479	p[1202].vz: -67.968

p[1203].x: -5.683	p[1203].y: -1.764	p[1203].z: -0.192
p[1203].vx: -80.517	p[1203].vy: -23.840	p[1203].vz: -2.182

p[1204].x: -2.176	p[1204].y: 0.743	p[1204].z: -1.312
p[1204].vx: -34.535	p[1204].vy: 10.719	p[1204].vz: -16.983

p[1205].x: 0.888	p[1205].y: -1.176	p[1205].z: -2.079
p[1205].vx: 17.803	p[1205].vy: -16.925	p[1205].vz: -30.297

p[1206].x: 0.891	p[1206].y: -6.432	p[1206].z: 3.236
p[1206].vx: 13.277	p[1206].vy: -91.329	p[1206].vz: 46.874

p[1207].x: -4.725	p[1207].y: -0.091	p[1207].z: -4.603
p[1207].vx: -67.926	p[1207].vy: -1.377	p[1207].vz: -67.427

p[1208].x: 3.198	p[1208].y: 1.983	p[1208].z: 5.174
p[1208].vx: 45.576	p[1208].vy: 30.020	p[1208].vz: 74.322

p[1209].x: 1.907	p[1209].y: -2.679	p[1209].z: -2.219
p[1209].vx: 27.668	p[1209].vy: -48.769	p[1209].vz: -37.858

p[1210].x: -2.933	p[1210].y: 1.885	p[1210].z: -1.251
p[1210].vx: -38.871	p[1210].vy: 25.305	p[1210].vz: -16.044

p[1211].x: 2.512	p[1211].y: 5.199	p[1211].z: 2.897
p[1211].vx: 37.975	p[1211].vy: 70.302	p[1211].vz: 41.083

p[1212].x: -7.812	p[1212].y: 6.197	p[1212].z: -0.234
p[1212].vx: -111.421	p[1212].vy: 89.353	p[1212].vz: -2.677

p[1213].x: 4.358	p[1213].y: -0.476	p[1213].z: -4.595
p[1213].vx: 61.031	p[1213].vy: -5.809	p[1213].vz: -64.749

p[1214].x: -2.423	p[1214].y: -2.570	p[1214].z: -1.332
p[1214].vx: -41.763	p[1214].vy: -42.502	p[1214].vz: -22.815

p[1215].x: -2.789	p[1215].y: -7.533	p[1215].z: -2.059
p[1215].vx: -39.380	p[1215].vy: -105.715	p[1215].vz: -30.435

p[1216].x: 2.371	p[1216].y: 1.896	p[1216].z: 0.999
p[1216].vx: 30.766	p[1216].vy: 27.903	p[1216].vz: 21.391

p[1217].x: 3.270	p[1217].y: 2.796	p[1217].z: 4.989
p[1217].vx: 47.447	p[1217].vy: 38.705	p[1217].vz: 70.222

p[1218].x: 1.753	p[1218].y: 6.184	p[1218].z: 2.851
p[1218].vx: 22.772	p[1218].vy: 89.655	p[1218].vz: 38.331

p[1219].x: -0.648	p[1219].y: 5.812	p[1219].z: -2.114
p[1219].vx: -7.726	p[1219].vy: 82.180	p[1219].vz: -32.962

p[1220].x: -3.353	p[1220].y: -1.499	p[1220].z: 1.843
p[1220].vx: -44.455	p[1220].vy: -22.816	p[1220].vz: 26.786

p[1221].x: -5.988	p[1221].y: -2.545	p[1221].z: -6.729
p[1221].vx: -84.803	p[1221].vy: -35.552	p[1221].vz: -95.827

p[1222].x: 34.146	p[1222].y: -42.005	p[1222].z: -4.133
p[1222].vx: 372.019	p[1222].vy: -468.312	p[1222].vz: -50.216

p[1223].x: 0.646	p[1223].y: 0.086	p[1223].z: -3.021
p[1223].vx: 6.142	p[1223].vy: 0.040	p[1223].vz: -48.645

p[1224].x: -6.082	p[1224].y: -0.687	p[1224].z: 3.815
p[1224].vx: -86.168	p[1224].vy: -10.006	p[1224].vz: 56.476

p[1225].x: -3.730	p[1225].y: -2.095	p[1225].z: 5.190
p[1225].vx: -53.314	p[1225].vy: -28.513	p[1225].vz: 75.715

p[1226].x: -1.207	p[1226].y: 1.391	p[1226].z: -0.854
p[1226].vx: -15.150	p[1226].vy: 19.192	p[1226].vz: -10.458

p[1227].x: -3.198	p[1227].y: -0.525	p[1227].z: 5.823
p[1227].vx: -44.122	p[1227].vy: -7.537	p[1227].vz: 81.681

p[1228].x: 3.686	p[1228].y: -3.673	p[1228].z: 3.150
p[1228].vx: 53.590	p[1228].vy: -52.917	p[1228].vz: 45.148

p[1229].x: 1.931	p[1229].y: 2.091	p[1229].z: -2.356
p[1229].vx: 29.442	p[1229].vy: 29.757	p[1229].vz: -36.649

p[1230].x: 8.223	p[1230].y: 2.667	p[1230].z: -1.198
p[1230].vx: 116.921	p[1230].vy: 37.217	p[1230].vz: -18.189

p[1231].x: 1.767	p[1231].y: 6.950	p[1231].z: 4.733
p[1231].vx: 26.099	p[1231].vy: 99.307	p[1231].vz: 68.084

p[1232].x: -3.631	p[1232].y: 6.084	p[1232].z: -1.621
